vg_name,developer,year_released,avg_score,num_reviews,country,est,status,genre,NA_sales,EU_sales,Japan_sales,Nonspec_sales,Tot_sales
Plants vs Zombies: Garden Warfare,Electronic Arts,2014,78.07,15.0,USA,1982.0,Independent,Shooter,0.24,0.3,0.01,0.11,0.66
PlayStation VR Worlds,Sony Interactive Entertainment,2016,57.07,28.0,USA,1994.0,Subsidiary,Misc,0.36,1.4,0.09,0.32,2.16
Prey (2017),Arkane Studios,2017,77.17,39.0,France,1999.0,Subsidiary,Shooter,0.25,0.62,0.02,0.16,1.04
Pro Evolution Soccer 2015,Konami,2014,83.32,31.0,Japan,1969.0,Independent,Sports,0.09,0.45,0.12,0.1,0.76
Pro Evolution Soccer 2016,Konami,2015,86.58,31.0,Japan,1969.0,Independent,Sports,0.14,0.43,0.14,0.1,0.82
Pro Evolution Soccer 2017,Konami,2016,84.85,31.0,Japan,1969.0,Independent,Sports,0.08,0.41,0.18,0.09,0.75
Pro Evolution Soccer 2018,Konami,2017,82.39,27.0,Japan,1969.0,Independent,Sports,0.12,0.36,0.19,0.09,0.75
Project CARS,Bandai,2015,82.63,27.0,Japan,1950.0,Subsidiary,Racing,0.29,0.76,0.04,0.19,1.28
Project CARS 2,Bandai,2017,79.67,20.0,Japan,1950.0,Subsidiary,Racing,0.1,0.35,0.02,0.08,0.55
Prototype: Biohazard Bundle,Activision,2015,48.0,5.0,USA,1979.0,Subsidiary,Action,0.14,0.0,0.0,0.03,0.17
Pure Farming 2018,Techland,2018,67.0,5.0,Poland,1991.0,Independent,Simulation,0.02,0.01,0.0,0.01,0.04
Rabbids Invasion: The Interactive TV Show,Ubisoft,2014,50.0,1.0,France,1986.0,Independent,Misc,0.0,0.01,0.0,0.0,0.02
Raid: World War II,Starbreeze Studios,2017,39.0,5.0,Sweden,1998.0,Independent,Shooter,0.04,0.0,0.0,0.01,0.04
Ratchet & Clank (2016),Insomniac Games,2016,86.27,64.0,USA,1994.0,Subsidiary,Platform,0.97,0.97,0.06,0.39,2.38
Rayman Legends,Ubisoft,2014,90.45,11.0,France,1986.0,Independent,Platform,0.22,1.05,0.0,0.23,1.5
Red Dead Redemption 2,Rockstar Games,2018,96.45,49.0,USA,1998.0,Subsidiary,Action-Adventure,5.26,6.21,0.21,2.26,13.94
Resident Evil: Revelations 2,Capcom,2019,92.39,41.0,Japan,1979.0,Independent,Action,0.14,0.25,0.11,0.07,0.57
Resident Evil 4 HD,Capcom,2016,85.85,13.0,Japan,1979.0,Independent,Action-Adventure,0.07,0.0,0.01,0.02,0.1
Resident Evil 5 HD,Capcom,2016,66.0,5.0,Japan,1979.0,Independent,Action,0.05,0.0,0.01,0.01,0.07
Resident Evil 6,Capcom,2016,50.62,8.0,Japan,1979.0,Independent,Shooter,0.1,0.0,0.05,0.02,0.17
Resident Evil VII: Biohazard,Capcom,2017,86.86,55.0,Japan,1979.0,Independent,Action,0.88,1.56,0.41,0.46,3.31
Resident Evil: Revelations,Capcom,2017,69.31,13.0,Japan,1979.0,Independent,Action,0.06,0.06,0.04,0.02,0.18
Ride,Milestone,2015,64.5,20.0,Japan,2003.0,Defunct,Racing,0.04,0.13,0.03,0.03,0.24
Ride 2,Milestone,2017,66.44,9.0,Japan,2003.0,Defunct,Racing,0.07,0.06,0.01,0.03,0.16
RIGS: Mechanized Combat League,Sony Interactive Entertainment,2016,79.05,29.0,USA,1994.0,Subsidiary,Action,0.11,0.06,0.02,0.04,0.23
Rime,Tequila Works,2017,80.09,38.0,Spain,2009.0,Independent,Adventure,0.02,0.07,0.0,0.02,0.11
Rise of the Tomb Raider,Crystal Dynamics,2016,88.69,26.0,USA,1992.0,Subsidiary,Adventure,0.61,1.08,0.05,0.32,2.07
Risen 3: Titan Lords,Piranha Bytes,2015,53.3,10.0,Germany,1997.0,Subsidiary,Role-Playing,0.0,0.06,0.0,0.01,0.07
Robinson: The Journey,Crytek,2016,63.76,25.0,Germany,1999.0,Independent,Action-Adventure,0.14,0.09,0.0,0.05,0.27
Rock Band 4,Harmonix Music Systems,2015,78.47,31.0,USA,1995.0,Independent,Music,0.41,0.06,0.0,0.1,0.57
Rocket League,Psyonix,2015,87.16,31.0,USA,2001.0,Subsidiary,Sports,0.37,1.34,0.0,0.31,2.02
Rocksmith 2014,Ubisoft,2014,83.4,5.0,France,1986.0,Independent,Music,0.38,0.17,0.0,0.12,0.67
Romance of the Three Kingdoms 13,Koei Tecmo Games (formerly Koei),2016,66.47,17.0,Japan,1978.0,Subsidiary,Action,0.03,0.0,0.06,0.01,0.1
