vg_name,developer,year_released,avg_score,num_reviews
Brick Breaker,Sanuk Games/Bigben Interactive,2016,50.0,1.0
Bridge Constructor,ClockStone Software/Headup Games,2016,64.0,5.0
Bridge Constructor Compilation,Koch Media,2018,70.0,1.0
Bridge Constructor Portal,ClockStone Software/Headup Games,2018,78.75,4.0
Bridge Constructor Stunts,Headup Games,2018,52.5,2.0
Brief Battles,Juicy Cupcake,2019,90.0,1.0
Broforce,Free Lives/Devolver Digital,2016,64.6,10.0
Broken Age,Double Fine Productions,2015,82.59,16.0
Broken Bots,Bunnycopter,2016,75.0,2.0
Broken Sword 5: The Serpent's Curse,Revolution Software,2015,73.56,9.0
Brothers: A Tale of Two Sons,Starbreeze/505 Games,2015,79.4,5.0
Brunswick Pro Bowling,Alliance Digital Media,2015,60.0,1.0
Brut@l,Stormcloud Games Limited,2016,70.5,20.0
Bubsy: Paws on Fire,Choice Provisions/Accolade,2019,60.0,5.0
Bubsy: The Woolies Strike Back,Black Forest Games/Accolade,2017,42.18,17.0
Bulletstorm: Full Clip Edition,People Can Fly/Maximum Games,2017,74.35,34.0
Burly Men At Sea,Brain&Brain,2017,80.0,1.0
Burnout Paradise Remastered,STELLAR ENTERTAINMENT SOFTWARE LTD/Electronic Arts,2018,81.88,16.0
Bus Simulator,stillalive studios/astragon,2019,62.5,2.0
Bush Hockey League,V7 Entertainment Inc.,2017,56.77,13.0
BUTCHER,Transhuman Design/Crunching Koalas,2017,69.33,9.0
Caladrius Blaze,Moss,2016,60.0,2.0
Call of Cthulhu,Cyanide/Focus Home Interactive,2018,64.52,32.0
Call of Duty: Advanced Warfare,Sledgehammer Games/Activision,2014,83.5,28.0
Call of Duty: Advanced Warfare - Ascendance,Sledgehammer Games/Activision,2015,70.0,1.0
Call of Duty: Advanced Warfare - Havoc,Sledgehammer Games/Activision,2015,80.0,1.0
Call of Duty: Black Ops 4,Treyarch/Activision,2018,83.93,42.0
Call of Duty: Black Ops III,Treyarch/Activision,2015,83.23,62.0
Call of Duty: Black Ops III - Awakening,Treyarch/Activision,2016,80.36,14.0
Call of Duty: Black Ops III - Descent,Treyarch/Activision,2016,67.6,5.0
Call of Duty: Black Ops III - Eclipse,Treyarch/Activision,2016,72.2,5.0
Call of Duty: Black Ops III - Salvation,Treyarch/Activision,2016,78.33,3.0
Call of Duty: Black Ops III - Zombies Chronicles,Treyarch/Activision,2017,79.3,10.0
Call of Duty: Ghosts,Infinity Ward/Activision,2013,78.31,32.0
Call of Duty: Ghosts - Devastation,Infinity Ward/Activision,2014,70.0,1.0
Call of Duty: Infinite Warfare,Infinity Ward/Activision,2016,77.82,57.0
Call of Duty: Infinite Warfare - Absolution,Infinity Ward/Activision,2017,67.5,2.0
Call of Duty: Infinite Warfare - Continuum,Infinity Ward/Activision,2017,77.0,4.0
Call of Duty: Infinite Warfare - Retribution,Infinity Ward/Activision,2017,60.0,2.0
Call of Duty: Infinite Warfare - Sabotage,Infinity Ward/Activision,2017,83.5,6.0
Call of Duty: Modern Warfare Remastered,Infinity Ward/Activision,2016,85.36,14.0
Call of Duty: WWII,Sledgehammer Games/Activision,2017,81.01,46.0
