Developer,Country,Est.,Status
Ruffian Games,Scotland,2008,Independent
Runic Games,USA,2008,Defunct
Running with Scissors,USA,1997,Independent
Saber Interactive,USA,2001,Independent
Sand Grain Studios,Romania,2002,Defunct
Sir-Tech,United StatesCanada,1979,Defunct
Schell Games,United States,2002,Independent
SCS Software,Czech Republic,1997,Independent
Sega,"Japan,USA",1960,Subsidiary
SEGA Interactive R&D Division 1 (Sega AM1),Japan,1984,Subsidiary
SEGA Interactive R&D Division 2 (Sega AM2),Japan,1985,Subsidiary
Sega AM3,Japan,1991,Defunct
Sega CS Research and Development No. 2 (Sonic Team),Japan,1996,Subsidiary
Sega Sports R&D,Japan,1994,Defunct
Sensible Software,England,1986,Defunct
Shift,Japan,1996,Independent
SIE Bend Studio,USA,"1993 (Founded as Blank, Berlyn and Co., later Eidetic)",Subsidiary
SIE San Mateo Studio (formerly SIE Foster City Studio),USA,1998,Subsidiary
SIE Japan Studio,Japan,1993,Subsidiary
SIE London Studio,England,2002,Subsidiary
SIE San Diego Studio,USA,2001,Subsidiary
SIE Santa Monica Studio,USA,1999,Subsidiary
SCE Studio Liverpool,England,1984,Defunct
SIE Worldwide Studios,"Japan, United States, Netherlands, United Kingdom",2005,Subsidiary
Shengqu Games,China,1999,Subsidiary
Sherman3D,Malaysia,2003,Independent
Shin'en Multimedia,Germany,1999,Independent
Sierra Entertainment,USA,1979,Defunct
Silicon Knights,Canada,1992,Defunct
Silicon Studio,Japan,2000,Independent
Simtex,USA,1988,Defunct
Sledgehammer Games,USA,2009,Subsidiary
Snail,China,2000,Independent
Slightly Mad Studios,England,2008,Independent
Slipgate Ironworks,Denmark,2017,Independent
Slitherine Software,England,2000,Independent
Smilegate,South Korea,2002,Independent
SNK,Japan,2001,Subsidiary
Sobee Studios,Turkey,2000,Subsidiary
Snowblind Studios,USA,1997,Defunct
Software 2000,Germany,1987,Defunct
Sony Interactive Entertainment,USA,1994,Subsidiary
Sora Ltd.,Japan,2005,Independent
Spectrum HoloByte,USA,1983,Defunct
Spellbound Entertainment,Germany,1994,Defunct
Spiders,France,2008,Subsidiary
Spike,Japan,1991,Defunct
Spike Chunsoft,Japan,2012,Subsidiary
Spil Games,Netherlands,2001,Independent
Splash Damage,England,2001,Subsidiary
Sproing Interactive Media,Austria,2001,Defunct
Square Enix,Japan,1975,Independent
Squad,Mexico,2009,Independent
Stainless Games,England,1993,Independent
Stainless Steel Studios,USA,1998,Defunct
Starbreeze Studios,Sweden,1998,Independent
Stardock,USA,1991,Independent
Sting Entertainment,Japan,1989,Independent
Strategic Simulations,USA,1979,Defunct
Stoic Studio,USA,2011,Independent
Strawdog Studios,England,2003,Independent
Straylight Studios,New Zealand,2004,Defunct
Streamline Studios,Malaysia,2001,Independent
Success,Japan,1978,Independent
Sucker Punch Productions,USA,1997,Subsidiary
Sumo Digital,England,2003,Independent
Supercell,Finland,2010,Subsidiary
Supermassive Games,England,2008,Independent
SuperVillain Studios,USA,2004,Subsidiary
Survios,USA,2013,Subsidiary
Studio Wildcard,US,2014,Independent
Swingin' Ape Studios,USA,2000,Defunct
StormRegion,Hungary,2001,Defunct
Syn Sophia,Japan,1995,Independent
Taito,Japan,1953,Subsidiary
Tango Gameworks,Japan,2010,Subsidiary
Tag Games,Scotland,2006,Independent
TaleWorlds Entertainment,Turkey,2005,Independent
Tamsoft,Japan,1992,Independent
Tantrumedia,England,2003,Independent
Tantalus Media,Australia,1994,Independent
Tarsier Studios,Sweden,2004,Independent
Tate Multimedia,Poland,2002,Independent
Team17,England,1990,Independent
Team Bondi,Australia,2003,Defunct
Team Ico,Japan,1997,Defunct
Team Ninja,Japan,1995,Subsidiary
Techland,Poland,1991,Independent
Tecmo,Japan,1967,Defunct
Telltale Games,USA,2004,Defunct
Tencent,China,1998,Independent
Tencent Games,China,2003,Subsidiary
Tequila Works,Spain,2009,Independent
Terminal Reality,USA,1994,Defunct
Tetris Online,USA,2006,Defunct
Teyon,Poland,2006,Independent
The Chinese Room,England,2007,Subsidiary
The Coalition,Canada,2010,Subsidiary
The Farm 51,Poland,2005,Independent
The Initiative,US,2018,Subsidiary
THQ,US,1989,Defunct
THQ Nordic,Austria Sweden,2011,Independent
Three Fields Entertainment,England,2014,Independent
Three Rings Design,US,2001,Defunct
TimeGate Studios,USA,1998,Defunct
Toaplan,Japan,1984,Defunct
ToeJam & Earl Productions,US,1989 (as Johnson Voorsanger Productions),Defunct
TopWare Interactive,Germany,1995,Independent
Torpex Games,USA,2005,Defunct
Torus Games,Australia,1994,Independent
Tose,Japan,1979,Independent
Toys for Bob,USA,1989,Subsidiary
Trapdoor,Canada,2010,Defunct
Transmission Games,Australia,1996,Defunct
Traveller's Tales,England,1990,Subsidiary
Treyarch,USA,1996,Subsidiary
Treasure,Japan,1992,Independent
tri-Ace,Japan,1995,Subsidiary
tri-Crescendo,Japan,1999,Independent
Trion Worlds,US,2006,Defunct
Tripwire Interactive,USA,2005,Independent
Triumph Studios,Netherlands,1997,Subsidiary
Turn 10 Studios,USA,2001,Subsidiary
Turtle Rock Studios,USA,2002,Independent
Two Point Studios,England,2016,Subsidiary
Two Tribes,Netherlands,2000,Independent
Typhoon Games (HK),China,2001,Subsidiary
Ubisoft,France,1986,Independent
Ubisoft Blue Byte,Germany,1988,Subsidiary
Ubisoft Reflections,England,1984,Subsidiary
Ultimate Play the Game,England,1982,Defunct
Undead Labs,US,2009,Subsidiary
United Front Games,Canada,2006,Defunct
United Game Artists,Japan,1996,Defunct
Universomo,Finland,2002,Defunct
Valve Corporation,USA,1996,Independent
Vanillaware,Japan,2002,Independent
Venan Entertainment,USA,2002,Defunct
